Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size
NoMTD,100,0,0.872093023255814,4218.138528647746,0.5,75
NoMTD,100,0,0.8823529411764706,4819.628774768129,0.6,75
NoMTD,100,0,0.8898305084745762,5464.253398737918,0.7,75
NoMTD,100,0,0.8823529411764706,5864.550740963731,0.8,75
NoMTD,100,0,0.8333333333333334,1962.1448647371376,0.1,100
NoMTD,100,0,0.9090909090909091,2999.666992644047,0.2,100
NoMTD,100,0,0.9090909090909091,4074.986829447592,0.3,100
NoMTD,100,0,0.9090909090909091,4684.540271121799,0.4,100
NoMTD,100,0,0.8928571428571429,5256.573668722858,0.5,100
NoMTD,100,0,0.8333333333333334,6115.005169406006,0.6,100
NoMTD,100,0,0.813953488372093,6681.604632516174,0.7,100
NoMTD,100,0,0.8333333333333334,7470.7703464090155,0.8,100
